0.200000 4.000000 0.100000 
12.000000 32.000000 64.000000 124.000000 
0.118323 0.048052 0.025044 0.013211 
0.122435 0.050622 0.026417 0.014017 
0.126526 0.053337 0.027776 0.014829 
0.133860 0.056726 0.029585 0.015739 
0.138871 0.059732 0.031883 0.016689 
0.144615 0.064192 0.032805 0.017793 
0.159225 0.066901 0.036014 0.018934 
0.169533 0.070848 0.038614 0.020211 
0.173498 0.074854 0.040806 0.021285 
0.183775 0.079767 0.042452 0.022901 
0.190051 0.084445 0.045502 0.024816 
0.211727 0.090949 0.048202 0.026848 
0.213555 0.097495 0.054344 0.029520 
0.235863 0.110375 0.059358 0.032773 
0.257111 0.120657 0.068003 0.037126 
0.283386 0.138504 0.078072 0.043243 
0.299535 0.160588 0.090909 0.052110 
0.336094 0.194012 0.116906 0.069105 
0.364169 0.229483 0.167750 0.120778 
0.389218 0.283832 0.235652 0.209668 
0.420286 0.323883 0.296867 0.281309 
0.449945 0.370008 0.350548 0.336215 
0.475493 0.406529 0.392572 0.379910 
0.489672 0.441690 0.428599 0.417545 
0.528653 0.472909 0.459099 0.450688 
0.555135 0.500707 0.485273 0.480372 
0.564378 0.524080 0.511920 0.503000 
0.584015 0.548761 0.531597 0.527989 
0.596940 0.564163 0.551595 0.546029 
0.616229 0.573509 0.573279 0.565456 
0.622608 0.588206 0.585844 0.583062 
0.647902 0.613464 0.605454 0.598882 
0.653251 0.625298 0.616925 0.614218 
0.656085 0.638388 0.630889 0.627133 
0.670728 0.652836 0.643174 0.637999 
0.691969 0.661897 0.655344 0.651491 
0.697111 0.671311 0.664988 0.661564 
0.715156 0.681349 0.672940 0.672471 
