0.200000 4.000000 0.100000 
12.000000 32.000000 64.000000 124.000000 
0.118306 0.048031 0.025037 0.013211 
0.122626 0.050604 0.026440 0.014012 
0.125959 0.053658 0.027907 0.014840 
0.134611 0.057059 0.029473 0.015750 
0.138070 0.059427 0.032044 0.016667 
0.146492 0.063605 0.032973 0.017828 
0.158031 0.067098 0.036134 0.018894 
0.168828 0.069464 0.037945 0.020138 
0.178358 0.075874 0.038940 0.021581 
0.180733 0.082621 0.042985 0.022996 
0.194131 0.086892 0.045340 0.024817 
0.202481 0.093829 0.049268 0.026876 
0.216960 0.100044 0.053981 0.029519 
0.232277 0.110700 0.060274 0.032758 
0.255042 0.121661 0.068124 0.037347 
0.292235 0.136277 0.076580 0.043062 
0.304709 0.157732 0.095857 0.052865 
0.322291 0.191108 0.115270 0.070283 
0.351588 0.237285 0.164281 0.123176 
0.381838 0.282418 0.240079 0.212954 
0.421368 0.327482 0.299212 0.277892 
0.442091 0.366759 0.350625 0.334623 
0.461298 0.405161 0.384711 0.376608 
0.496368 0.444961 0.427107 0.418219 
0.528310 0.471914 0.455699 0.449980 
0.542800 0.496491 0.487202 0.478538 
0.563041 0.523567 0.511665 0.503235 
0.592345 0.543098 0.533941 0.525718 
0.612109 0.557151 0.549448 0.548295 
0.600428 0.582686 0.573351 0.564676 
0.625214 0.596024 0.590397 0.584022 
0.637157 0.611044 0.603334 0.599407 
0.641877 0.623273 0.619414 0.612892 
0.664163 0.635814 0.631589 0.626352 
0.665013 0.650450 0.641780 0.639249 
0.698259 0.662259 0.655897 0.651811 
0.699056 0.674095 0.667013 0.662820 
0.701958 0.689311 0.676699 0.673116 
